А,1173
Б,1161
В,497
Г,888
Д,808
Е,110
Ж,339
З,650
И,368
Й,4
К,1063
Л,735
М,771
Н,500
О,760
П,1396
Р,519
С,1371
Т,988
У,287
Ф,203
Х,299
Ц,245
Ч,289
Ш,291
Щ,162
Ъ,0
Ы,0
Ь,0
Э,238
Ю,148
Я,225
